ID,Name,Height,Weight,Age,Sex,Profession
0,Капустин Добрыня,170.0,57.0,37,м,преподаватель
1,Гаврилов Вячеслав,,59.0,34,м,сантехник
2,Кошелев Артемий,,55.0,83,м,преподаватель
3,Родионов Спартак,168.0,66.0,56,м,сантехник
4,Шубин Иосиф,179.0,109.0,55,м,врач
5,Субботин Вольдемар,169.0,93.0,81,м,сантехник
6,Буров Давид,171.0,95.0,68,м,бухгалтер
7,Лебедев Ренат,175.0,82.0,80,м,инженер
8,Мясников Егор,171.0,112.0,77,м,бухгалтер
9,Борисов Радослав,180.0,83.0,57,м,программист
10,Щукин Феликс,192.0,50.0,64,м,бухгалтер
11,Козлов Яков,190.0,56.0,75,м,автослесарь
12,Хохлов Макарий,173.0,,67,м,студент
13,Лапин Влад,178.0,88.0,41,м,врач
14,Суворов Борис,188.0,65.0,48,м,преподаватель
15,Блохин Олег,189.0,53.0,47,м,врач
16,Потапов Борислав,176.0,55.0,80,м,студент
17,Гусев Севастьян,174.0,105.0,22,м,студент
18,Новиков Яков,193.0,87.0,55,м,сантехник
19,Ширяев Марк,184.0,70.0,49,м,врач
20,Дорофеев Иосиф,175.0,,28,м,сантехник
21,Филиппов Гордей,178.0,116.0,20,м,бухгалтер
22,Кононов Аполлинарий,178.0,97.0,57,м,бухгалтер
23,Данилов Ждан,173.0,66.0,51,м,продавец
24,Медведев Никита,170.0,88.0,65,м,сантехник
25,Савельев Вольдемар,171.0,75.0,32,м,врач
26,Муравьёв Антоний,180.0,77.0,24,м,врач
27,Соловьёв Эльдар,191.0,59.0,84,м,сантехник
28,Сорокин Влад,177.0,104.0,76,м,инженер
29,Сазонов Антоний,182.0,72.0,89,м,врач
30,Никифоров Марк,185.0,115.0,81,м,преподаватель
31,Васильев Юлиан,181.0,59.0,86,м,преподаватель
32,Тихонов Федот,,90.0,55,м,преподаватель
33,Ефремов Зиновий,165.0,117.0,85,м,программист
34,Никифоров Пётр,173.0,103.0,71,м,сантехник
35,Куликов Булат,188.0,111.0,82,м,бухгалтер
36,Королёв Архип,175.0,,23,м,врач
37,Гордеев Андрей,176.0,113.0,49,м,преподаватель
38,Пахомов Георгий,165.0,113.0,63,м,инженер
39,Потапов Геннадий,181.0,69.0,49,м,автослесарь
40,Рыбаков Казимир,185.0,73.0,59,м,студент
41,Осипов Анисий,187.0,53.0,58,м,продавец
42,Егоров Парамон,186.0,97.0,25,м,автослесарь
43,Емельянов Евдоким,,85.0,84,м,программист
44,Тарасов Назар,177.0,85.0,64,м,автослесарь
45,Воробьёв Агафон,177.0,97.0,23,м,преподаватель
46,Чернов Потап,176.0,113.0,87,м,преподаватель
47,Туров Флор,181.0,71.0,33,м,продавец
48,Доронин Иероним,167.0,87.0,67,м,бухгалтер
49,Самсонов Эрик,169.0,86.0,71,м,студент
50,Доронин Сергей,193.0,,76,м,инженер
51,Филатов Еремей,175.0,104.0,86,м,инженер
52,Логинов Ефрем,174.0,80.0,77,м,преподаватель
53,Беляков Вольдемар,170.0,102.0,70,м,продавец
54,Савин Аркадий,179.0,88.0,62,м,студент
55,Стрелков Илларион,165.0,100.0,55,м,врач
56,Константинов Святослав,175.0,58.0,47,м,врач
57,Мышкин Булат,180.0,99.0,86,м,инженер
58,Никифоров Демьян,187.0,101.0,60,м,инженер
59,Харитонов Леонид,194.0,71.0,76,м,продавец
60,Стрелков Артур,186.0,96.0,61,м,преподаватель
61,Попов Семен,192.0,90.0,38,м,врач
62,Морозов Константин,193.0,108.0,41,м,сантехник
63,Горшков Данила,168.0,113.0,60,м,инженер
64,Корнилов Платон,194.0,52.0,49,м,врач
65,Афанасьев Яков,184.0,79.0,59,м,автослесарь
66,Носов Владислав,176.0,111.0,80,м,автослесарь
67,Гордеев Радомир,184.0,65.0,39,м,продавец
68,Лихачёв Вениамин,173.0,82.0,39,м,продавец
69,Блинов Болеслав,192.0,68.0,88,м,сантехник
70,Соловьёв Самсон,178.0,99.0,89,м,инженер
71,Самсонов Тарас,177.0,71.0,44,м,продавец
72,Кулаков Ждан,182.0,115.0,48,м,студент
73,Копылов Фаддей,168.0,91.0,35,м,бухгалтер
74,Терентьев Георгий,174.0,99.0,33,м,преподаватель
75,Бобылёв Вольдемар,169.0,66.0,39,м,студент
76,Якушев Радослав,193.0,56.0,62,м,бухгалтер
77,Белозёров Валентин,183.0,76.0,75,м,инженер
78,Блинов Богдан,167.0,,43,м,автослесарь
79,Маслов Севастьян,172.0,108.0,39,м,автослесарь
80,Юдин Осип,172.0,104.0,68,м,продавец
81,Баранов Кир,191.0,96.0,35,м,автослесарь
82,Фомичёв Валентин,191.0,118.0,27,м,преподаватель
83,Самсонов Диомид,173.0,82.0,32,м,программист
84,Соколов Никита,173.0,78.0,62,м,программист
85,Кулагин Леонтий,178.0,104.0,19,м,преподаватель
86,Лыткин Леонтий,,111.0,35,м,бухгалтер
87,Журавлёв Аполлон,186.0,79.0,66,м,врач
88,Лыткин Радий,188.0,55.0,29,м,продавец
89,Молчанов Никифор,,90.0,42,м,врач
90,Волков Александр,,114.0,36,м,программист
91,Мартынов Константин,178.0,93.0,57,м,бухгалтер
92,Колесников Юрий,166.0,95.0,61,м,преподаватель
93,Русаков Потап,173.0,103.0,64,м,преподаватель
94,Цветков Эдуард,188.0,52.0,62,м,сантехник
95,Орлов Анфим,189.0,85.0,21,м,врач
96,Семёнов Владимир,194.0,51.0,71,м,бухгалтер
97,Соловьёв Радослав,192.0,,46,м,инженер
98,Лаврентьев Рустам,181.0,84.0,33,м,инженер
99,Назаров Савелий,173.0,63.0,84,м,программист
100,Пестов Добрыня,173.0,79.0,77,м,студент
101,Костин Демид,186.0,108.0,24,м,врач
102,Игнатов Юлий,172.0,116.0,31,м,сантехник
103,Лебедев Эдуард,184.0,74.0,18,м,бухгалтер
104,Владимиров Зиновий,190.0,82.0,19,м,сантехник
105,Пахомов Влас,190.0,109.0,49,м,бухгалтер
106,Шилов Виктор,188.0,86.0,26,м,программист
107,Баранов Фаддей,190.0,62.0,39,м,студент
108,Михайлов Радик,182.0,110.0,54,м,сантехник
109,Лукин Моисей,172.0,56.0,77,м,сантехник
110,Романов Артемий,190.0,56.0,24,м,продавец
111,Уваров Илья,171.0,59.0,79,м,бухгалтер
112,Князев Михаил,174.0,87.0,82,м,программист
113,Кириллов Ярослав,172.0,78.0,18,м,инженер
114,Рожков Никон,166.0,77.0,37,м,программист
115,Смирнов Серафим,176.0,106.0,61,м,инженер
116,Корнилов Гавриил,181.0,50.0,53,м,преподаватель
117,Сорокин Трофим,173.0,71.0,75,м,программист
118,Сазонов Марк,174.0,63.0,21,м,автослесарь
119,Копылов Иннокентий,189.0,102.0,32,м,продавец
120,Корнилов Василий,178.0,119.0,69,м,преподаватель
121,Владимиров Вадим,170.0,,33,м,бухгалтер
122,Борисов Болеслав,173.0,103.0,65,м,инженер
123,Котов Константин,181.0,101.0,22,м,студент
124,Куликов Илларион,184.0,105.0,18,м,продавец
125,Мышкин Ренат,168.0,87.0,70,м,бухгалтер
126,Абрамов Яромир,,53.0,64,м,преподаватель
127,Котов Антоний,182.0,94.0,34,м,сантехник
128,Блинов Ян,183.0,86.0,54,м,программист
129,Самойлов Кондрат,194.0,116.0,59,м,автослесарь
130,Лаврентьев Демьян,,94.0,22,м,бухгалтер
131,Шарапов Данил,194.0,118.0,52,м,бухгалтер
132,Шестаков Кондрат,183.0,56.0,23,м,бухгалтер
133,Одинцов Ян,167.0,73.0,35,м,автослесарь
134,Фролов Елисей,167.0,79.0,88,м,врач
135,Фадеев Ждан,176.0,112.0,40,м,врач
136,Дьячков Роман,189.0,50.0,34,м,программист
137,Силин Давыд,187.0,76.0,73,м,бухгалтер
138,Буров Вольдемар,186.0,65.0,32,м,студент
139,Мамонтов Яков,186.0,,78,м,студент
140,Голубев Кирилл,167.0,78.0,53,м,инженер
141,Юдин Ростислав,174.0,65.0,55,м,автослесарь
142,Макаров Данислав,171.0,80.0,89,м,продавец
143,Брагин Арсен,,81.0,44,м,сантехник
144,Алексеев Серафим,191.0,52.0,49,м,преподаватель
145,Дроздов Чарли,194.0,81.0,55,м,автослесарь
146,Макаров Бронислав,191.0,,23,м,бухгалтер
147,Блинов Мирослав,177.0,92.0,18,м,врач
148,Шашков Ефрем,192.0,118.0,27,м,автослесарь
149,Федотов Иннокентий,170.0,,47,м,продавец
150,Мартынов Данислав,,67.0,31,м,продавец
151,Буров Макарий,184.0,105.0,88,м,врач
152,Гурьев Аполлинарий,181.0,70.0,45,м,продавец
153,Лихачёв Мирон,189.0,83.0,86,м,бухгалтер
154,Никифоров Ян,175.0,114.0,55,м,сантехник
155,Блинов Парамон,173.0,,46,м,преподаватель
156,Ефимов Серафим,186.0,85.0,88,м,врач
157,Шаров Митрофан,167.0,91.0,71,м,автослесарь
158,Фадеев Борис,166.0,72.0,23,м,преподаватель
159,Калашников Николай,181.0,111.0,19,м,преподаватель
160,Доронин Вячеслав,181.0,118.0,49,м,преподаватель
161,Жуков Илларион,179.0,95.0,87,м,автослесарь
162,Симонов Лукьян,185.0,113.0,24,м,автослесарь
163,Тихонов Макар,176.0,60.0,70,м,врач
164,Кириллов Арсентий,193.0,98.0,53,м,инженер
165,Виноградов Модест,174.0,101.0,85,м,автослесарь
166,Владимиров Арсений,192.0,73.0,53,м,студент
167,Игнатов Матвей,191.0,115.0,28,м,инженер
168,Коновалов Юлиан,194.0,55.0,84,м,автослесарь
169,Комиссаров Савва,187.0,61.0,44,м,врач
170,Гусев Виктор,177.0,88.0,32,м,бухгалтер
171,Герасимов Зиновий,188.0,71.0,79,м,врач
172,Соловьёв Аким,188.0,117.0,44,м,бухгалтер
173,Анисимов Федот,187.0,67.0,70,м,сантехник
174,Гаврилов Глеб,182.0,113.0,83,м,сантехник
175,Гришин Аким,188.0,52.0,25,м,продавец
176,Ермаков Артемий,192.0,108.0,45,м,программист
177,Овчинников Флор,175.0,108.0,38,м,преподаватель
178,Артемьев Игнатий,165.0,86.0,56,м,студент
179,Абрамов Юлий,185.0,93.0,76,м,программист
180,Щербаков Кондрат,192.0,92.0,35,м,инженер
181,Русаков Викентий,173.0,,67,м,преподаватель
182,Уваров Тихон,187.0,64.0,22,м,автослесарь
183,Горбунов Ян,179.0,53.0,66,м,врач
184,Беляков Никодим,180.0,83.0,26,м,врач
185,Кузьмин Тимур,170.0,,19,м,инженер
186,Филатов Казимир,182.0,84.0,85,м,продавец
187,Горбачёв Родион,176.0,105.0,19,м,продавец
188,Красильников Данислав,186.0,63.0,68,м,продавец
189,Анисимов Кузьма,185.0,112.0,31,м,студент
190,Белов Давид,169.0,109.0,18,м,программист
191,Веселов Димитрий,189.0,103.0,29,м,сантехник
192,Комиссаров Модест,186.0,104.0,57,м,врач
193,Шубин Андрей,177.0,95.0,55,м,студент
194,Симонов Василий,192.0,65.0,33,м,продавец
195,Кузьмин Тимофей,194.0,75.0,52,м,преподаватель
196,Зиновьев Флор,191.0,107.0,78,м,студент
197,Виноградов Кузьма,183.0,68.0,27,м,бухгалтер
198,Фокин Савва,,111.0,77,м,врач
199,Журавлёв Аким,,114.0,34,м,бухгалтер
200,Васильев Севастьян,192.0,115.0,40,м,программист
201,Исаков Артём,193.0,66.0,43,м,инженер
202,Киселёв Эльдар,184.0,,22,м,продавец
203,Зыков Илларион,166.0,92.0,22,м,автослесарь
204,Гришин Виктор,191.0,92.0,67,м,автослесарь
205,Белов Гавриил,167.0,105.0,36,м,программист
206,Жуков Никанор,194.0,90.0,39,м,сантехник
207,Антонов Сидор,176.0,,38,м,бухгалтер
208,Ширяев Тимофей,180.0,63.0,28,м,программист
209,Воробьёв Кузьма,177.0,106.0,54,м,продавец
210,Кошелев Радослав,169.0,114.0,68,м,преподаватель
211,Пестов Наум,165.0,114.0,35,м,продавец
212,Фадеев Влас,169.0,74.0,32,м,врач
213,Антонов Потап,189.0,53.0,18,м,врач
214,Зайцев Кондрат,190.0,67.0,81,м,автослесарь
215,Блинов Касьян,169.0,114.0,19,м,программист
216,Кулаков Климент,170.0,112.0,33,м,сантехник
217,Вишняков Кондрат,176.0,111.0,59,м,автослесарь
218,Фомин Вилен,181.0,52.0,19,м,врач
219,Виноградов Арсен,168.0,86.0,26,м,программист
220,Дмитриев Сергей,,96.0,89,м,врач
221,Бобылёв Августин,182.0,77.0,69,м,сантехник
222,Лебедев Харитон,171.0,94.0,80,м,инженер
223,Орлов Марк,167.0,113.0,49,м,сантехник
224,Филиппов Геннадий,168.0,83.0,27,м,преподаватель
225,Миронов Добрыня,181.0,111.0,89,м,автослесарь
226,Лебедев Тихон,187.0,108.0,50,м,сантехник
227,Третьяков Владлен,172.0,76.0,77,м,студент
228,Рябов Федот,173.0,67.0,70,м,сантехник
229,Лаврентьев Архип,184.0,59.0,61,м,продавец
230,Кириллов Агафон,191.0,117.0,60,м,программист
231,Давыдов Арсений,166.0,58.0,80,м,врач
232,Рогов Никита,191.0,63.0,88,м,студент
233,Морозов Семён,194.0,66.0,70,м,автослесарь
234,Туров Демьян,181.0,109.0,89,м,врач
235,Бобров Захар,175.0,,75,м,автослесарь
236,Гаврилов Вячеслав,173.0,108.0,37,м,бухгалтер
237,Константинов Ярослав,191.0,55.0,46,м,автослесарь
238,Вишняков Данил,194.0,107.0,58,м,студент
239,Зайцев Леонтий,174.0,114.0,21,м,сантехник
240,Шилов Мартын,179.0,86.0,76,м,бухгалтер
241,Пахомов Аким,183.0,60.0,63,м,преподаватель
242,Суворов Ростислав,173.0,103.0,32,м,продавец
243,Гурьев Кузьма,188.0,99.0,34,м,врач
244,Власов Геннадий,,75.0,52,м,автослесарь
245,Чернов Дмитрий,185.0,69.0,58,м,врач
246,Елисеев Виссарион,175.0,89.0,64,м,продавец
247,Козлов Платон,187.0,114.0,41,м,продавец
248,Щербаков Геннадий,175.0,105.0,30,м,программист
249,Тетерин Егорий,186.0,81.0,35,м,программист
250,Трофимов Аристарх,165.0,104.0,75,м,продавец
251,Меркушев Данил,171.0,,31,м,автослесарь
252,Нестеров Евдоким,166.0,89.0,53,м,программист
253,Потапов Анисий,176.0,55.0,44,м,продавец
254,Комаров Тихон,168.0,85.0,31,м,бухгалтер
255,Архипов Давид,185.0,99.0,36,м,бухгалтер
256,Поляков Осип,183.0,50.0,39,м,автослесарь
257,Фадеев Георгий,189.0,52.0,69,м,продавец
258,Александров Касьян,173.0,102.0,41,м,автослесарь
259,Беспалов Анатолий,178.0,98.0,74,м,автослесарь
260,Зайцев Виссарион,194.0,60.0,30,м,студент
261,Козлов Владимир,166.0,115.0,47,м,врач
262,Шашков Зорийй,193.0,84.0,85,м,бухгалтер
263,Панфилов Вячеслав,186.0,51.0,51,м,программист
264,Архипов Степан,165.0,,87,м,преподаватель
265,Архипов Виталий,188.0,118.0,40,м,автослесарь
266,Громов Виктор,184.0,58.0,75,м,студент
267,Карпов Анатолий,186.0,93.0,38,м,бухгалтер
268,Назаров Влас,186.0,116.0,86,м,врач
269,Новиков Антоний,168.0,58.0,25,м,инженер
270,Ковалёв Эльдар,175.0,90.0,46,м,сантехник
271,Коновалов Данил,191.0,69.0,30,м,сантехник
272,Доронин Осип,170.0,58.0,31,м,врач
273,Быков Парамон,193.0,,65,м,сантехник
274,Некрасов Касьян,177.0,51.0,51,м,продавец
275,Назаров Вадим,177.0,66.0,57,м,студент
276,Бирюков Арсен,173.0,60.0,43,м,продавец
277,Константинов Алексей,173.0,54.0,39,м,инженер
278,Воробьёв Альберт,171.0,72.0,48,м,инженер
279,Трофимов Родион,171.0,104.0,41,м,бухгалтер
280,Фокин Данил,178.0,74.0,39,м,бухгалтер
281,Игнатов Борис,172.0,88.0,19,м,программист
282,Смирнов Леонтий,185.0,112.0,78,м,бухгалтер
283,Карпов Анатолий,180.0,98.0,61,м,программист
284,Анисимов Алексей,175.0,87.0,38,м,программист
285,Доронин Артемий,167.0,88.0,47,м,бухгалтер
286,Кузнецов Борис,170.0,94.0,66,м,автослесарь
287,Крылов Анфим,185.0,,30,м,программист
288,Голубев Марк,177.0,100.0,33,м,инженер
289,Казаков Арсений,180.0,93.0,80,м,продавец
290,Беляев Дамир,183.0,77.0,27,м,бухгалтер
291,Игнатов Давыд,172.0,62.0,67,м,бухгалтер
292,Харитонов Терентий,186.0,53.0,67,м,сантехник
293,Мартынов Булат,190.0,97.0,19,м,сантехник
294,Мартынов Игнат,170.0,99.0,20,м,врач
295,Бобылёв Тарас,169.0,85.0,74,м,продавец
296,Лыткин Елисей,185.0,93.0,71,м,автослесарь
297,Блохин Флор,175.0,82.0,52,м,автослесарь
